,ID,label,y_pred,y_pred_class
0,0,0,0.8770784,1
1,0,0,0.895197,1
2,0,0,0.9590012,1
3,0,0,0.9434693,1
4,0,0,0.8373661,1
5,0,0,0.19808604,0
6,0,0,0.022628244,0
7,0,0,0.039576933,0
8,0,0,0.008386918,0
9,0,0,0.0038141136,0
10,0,0,0.004130407,0
11,0,0,0.013224048,0
12,0,0,0.012947868,0
13,0,0,0.0044460744,0
14,0,0,0.0031112528,0
15,0,0,0.00047621527,0
16,0,0,0.0014300342,0
17,0,0,0.18167697,0
18,0,0,0.31483492,0
19,0,0,0.2446619,0
20,0,0,0.5404017,1
21,0,0,0.46444383,0
22,0,0,0.3751421,0
23,0,0,0.18171401,0
24,0,0,0.14461179,0
25,0,0,0.47126588,0
26,0,0,0.8402715,1
27,0,0,0.71138245,1
28,0,0,0.04557023,0
29,0,0,0.009482793,0
30,0,0,0.0046371333,0
