,ID,label,y_pred,y_pred_class
0,0,0,4.429637e-11,0
1,0,0,3.5275766e-10,0
2,0,0,1.3388336e-09,0
3,0,0,2.951579e-07,0
4,0,0,8.056648e-06,0
5,0,0,1.6142827e-05,0
6,0,0,1.3124804e-05,0
7,0,0,8.920509e-06,0
8,0,0,2.2017127e-06,0
9,0,0,2.2920571e-07,0
10,0,0,4.9974155e-08,0
11,0,0,7.533034e-09,0
12,0,0,2.7442038e-11,0
13,0,0,1.3011644e-12,0
14,0,0,1.2942413e-12,0
15,0,0,7.59759e-13,0
16,0,0,2.5654525e-15,0
17,0,0,4.1133484e-16,0
18,0,0,1.3704292e-16,0
19,0,0,6.9902957e-15,0
20,0,0,4.9304345e-14,0
21,0,0,8.7646136e-16,0
22,0,0,9.021677e-16,0
23,0,0,8.933356e-16,0
24,0,0,9.087897e-15,0
25,0,0,3.7879076e-15,0
26,0,0,8.6310354e-16,0
27,0,0,1.1566615e-16,0
28,0,0,1.6763897e-17,0
29,0,0,2.0472605e-16,0
30,0,0,1.5869377e-17,0
