,ID,label,y_pred,y_pred_class
0,0,0,4.3825319741935125e-11,0
1,0,0,3.5216483300327765e-10,0
2,0,0,1.3375607022374482e-09,0
3,0,0,2.94896054144366e-07,0
4,0,0,8.051845090625162e-06,0
5,0,0,1.6027706449119873e-05,0
6,0,0,1.2306592713798109e-05,0
7,0,0,6.4067456601094934e-06,0
8,0,0,2.2017127e-06,0
9,0,0,1.417394952993136e-07,0
10,0,0,4.2511844254497984e-08,0
11,0,0,4.6801474687625774e-09,0
12,0,0,2.4419341421552125e-11,0
13,0,0,1.2711181719080725e-12,0
14,0,0,1.269625270516037e-12,0
15,0,0,7.032514685195997e-13,0
16,0,0,1.8859605937639996e-15,0
17,0,0,3.00927139324112e-16,0
18,0,0,1.2602549148952003e-16,0
19,0,0,6.7256161921595435e-15,0
20,0,0,4.685644343596276e-14,0
21,0,0,6.066499173071517e-16,0
22,0,0,5.673856262274899e-16,0
23,0,0,7.8239278783736e-16,0
24,0,0,8.671287535509678e-15,0
25,0,0,3.6867534214957935e-15,0
26,0,0,8.426391824458913e-16,0
27,0,0,1.1354184862233002e-16,0
28,0,0,1.66330832825399e-17,0
29,0,0,2.0031358944435e-16,0
30,0,0,1.571946312151902e-17,0
